supplier_id,corridor,tier,tax_id_type,has_tax_id,entity_resolution_pass,jw_score,auto_merge_eligible,ppr_rate,kyc_fields_prepopulated,kyc_fields_total,manual_onboard_days,auto_onboard_days_target,onboard_cost_usd,eligible_volume_usd,net_margin_yield,npv_5yr_usd,npv_positive,status
SUP_0099,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6282,9,15,13,3,1135,684497,0.01,24812.82,1,Dropped_Off
SUP_0100,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.6933,10,15,12,4,949,309935,0.01,10799.97,1,Active
SUP_0101,Singapore,T1,UEN,0,Pass2_Probabilistic,0.796,0,0.6728,10,15,12,2,1013,714743,0.01,26081.38,1,Enrolled_Not_Active
SUP_0102,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.5835,9,15,15,2,1025,129459,0.01,3882.51,1,Dropped_Off
SUP_0103,India,T2,GSTIN,0,Pass2_Probabilistic,0.71,0,0.6049,9,15,13,2,848,65588,0.01,1638.3,1,Active
SUP_0104,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.5683,9,15,13,5,935,77818,0.01,2014.91,1,Onboarding
SUP_0105,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.6248,9,15,16,4,880,21212,0.01,-75.9,0,Active
SUP_0106,Vietnam,T1,MST,1,Pass1_Deterministic,,1,0.4991,7,15,17,2,1132,585289,0.01,21055.06,1,Onboarding
SUP_0107,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.6299,9,15,14,3,876,159920,0.01,5186.23,1,Active
SUP_0108,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.7348,11,15,14,4,1158,40117,0.01,362.75,1,Active
SUP_0109,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6122,9,15,12,2,1034,500178,0.01,17926.68,1,Active
SUP_0110,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.6966,10,15,13,5,890,634848,0.01,23175.73,1,Enrolled_Not_Active
SUP_0111,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.7594,11,15,14,4,1109,323980,0.01,11172.39,1,Enrolled_Not_Active
SUP_0112,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.7494,11,15,18,2,1105,419073,0.01,14781.16,1,Active
SUP_0113,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.7524,11,15,17,5,1063,48979,0.01,793.69,1,Active
SUP_0114,Vietnam,T3,MST,1,Pass1_Deterministic,,1,0.4735,7,15,14,5,889,34924,0.01,434.89,1,Active
SUP_0115,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.5824,9,15,15,2,1080,81153,0.01,1996.34,1,Active
SUP_0116,India,T3,GSTIN,0,Pass2_Probabilistic,0.728,0,0.6069,9,15,16,3,1093,40854,0.01,455.69,1,Active
SUP_0117,Singapore,T3,UEN,0,Pass2_Probabilistic,0.743,0,0.7046,11,15,16,3,918,49060,0.01,941.76,1,Dropped_Off
SUP_0118,Singapore,T1,UEN,0,Pass2_Probabilistic,0.816,0,0.7565,11,15,16,2,1068,582869,0.01,21027.32,1,Onboarding
SUP_0119,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.7861,12,15,12,2,870,36604,0.01,517.58,1,Onboarding
SUP_0120,Singapore,T2,UEN,0,Pass2_Probabilistic,0.839,0,0.731,11,15,16,2,806,167419,0.01,5540.5,1,Active
SUP_0121,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.6177,9,15,16,2,1107,43506,0.01,542.22,1,Active
SUP_0122,India,T3,GSTIN,0,Pass2_Probabilistic,0.85,1,0.5934,9,15,15,3,823,35478,0.01,521.9,1,Active
SUP_0123,India,T2,GSTIN,0,Pass2_Probabilistic,0.754,0,0.5635,8,15,16,2,1030,163561,0.01,5170.25,1,Active
SUP_0124,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.7643,11,15,15,3,1034,529572,0.01,19040.95,1,Enrolled_Not_Active
SUP_0125,Vietnam,T1,MST,1,Pass1_Deterministic,,1,0.4325,6,15,18,4,1066,373917,0.01,13108.4,1,Active
SUP_0126,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.554,8,15,12,5,990,123438,0.01,3689.27,1,Enrolled_Not_Active
SUP_0127,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.5968,9,15,12,3,910,19023,0.01,-188.88,0,Onboarding
SUP_0128,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.6372,10,15,14,3,859,45990,0.01,884.38,1,Active
SUP_0129,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.6486,10,15,18,2,1180,872633,0.01,31899.66,1,Enrolled_Not_Active
SUP_0130,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7255,11,15,12,3,926,64481,0.01,1518.34,1,Active
SUP_0131,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7711,12,15,18,2,1169,120765,0.01,3408.94,1,Active
SUP_0132,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6148,9,15,17,5,1015,581977,0.01,21046.51,1,Dropped_Off
SUP_0133,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.7157,11,15,18,2,962,853288,0.01,31384.33,1,Active
SUP_0134,Singapore,T2,UEN,0,Pass2_Probabilistic,0.855,1,0.6909,10,15,17,4,1107,72414,0.01,1638.06,1,Active
SUP_0135,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.7626,11,15,18,2,983,35714,0.01,370.84,1,Active
SUP_0136,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7097,11,15,14,4,1150,142508,0.01,4252.17,1,Active
SUP_0137,Vietnam,T2,MST,1,Pass1_Deterministic,,1,0.4898,7,15,14,2,908,195763,0.01,6512.96,1,Dropped_Off
SUP_0138,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.5866,9,15,18,3,1079,157461,0.01,4890.01,1,Active
SUP_0139,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.6228,9,15,12,2,956,169753,0.01,5478.97,1,Active
SUP_0140,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.738,11,15,14,4,894,47975,0.01,924.63,1,Onboarding
SUP_0141,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.5891,9,15,15,4,1010,34996,0.01,316.62,1,Dropped_Off
SUP_0142,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6223,9,15,14,3,1180,576570,0.01,20676.54,1,Active
SUP_0143,Singapore,T2,UEN,0,Pass2_Probabilistic,0.835,0,0.7215,11,15,16,4,1119,89322,0.01,2267.01,1,Onboarding
SUP_0144,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7284,11,15,18,2,1003,188709,0.01,6150.56,1,Enrolled_Not_Active
SUP_0145,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.746,11,15,14,5,1020,565208,0.01,20405.83,1,Dropped_Off
SUP_0146,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6021,9,15,12,4,929,377132,0.01,13367.27,1,Onboarding
SUP_0147,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.6622,10,15,14,5,1033,178501,0.01,5733.59,1,Active
SUP_0148,Singapore,T2,UEN,0,Pass2_Probabilistic,0.79,0,0.7064,11,15,14,5,1156,168642,0.01,5236.86,1,Active
SUP_0149,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.7484,11,15,14,5,1186,838172,0.01,30587.31,1,Active
SUP_0150,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6159,9,15,18,3,913,851712,0.01,31373.59,1,Dropped_Off
SUP_0151,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.6082,9,15,16,4,882,48528,0.01,957.59,1,Active
SUP_0152,Vietnam,T1,MST,1,Pass1_Deterministic,,1,0.4566,7,15,18,5,932,763013,0.01,27992.2,1,Active
SUP_0153,India,T1,GSTIN,0,Pass2_Probabilistic,0.737,0,0.6627,10,15,15,5,1062,530724,0.01,19056.62,1,Active
SUP_0154,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7547,11,15,12,5,886,141713,0.01,4486.04,1,Active
SUP_0155,Singapore,T3,UEN,0,Pass2_Probabilistic,0.909,1,0.7804,12,15,13,4,1091,20745,0.01,-304.6,0,Dropped_Off
SUP_0156,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6121,9,15,15,5,876,350853,0.01,12424.09,1,Active
SUP_0157,Singapore,T2,UEN,0,Pass2_Probabilistic,0.718,0,0.7407,11,15,14,5,1120,66059,0.01,1384.16,1,Active
SUP_0158,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.6019,9,15,13,3,914,37409,0.01,504.1,1,Active
SUP_0159,Vietnam,T1,MST,1,Pass1_Deterministic,,1,0.485,7,15,13,3,1123,339728,0.01,11755.36,1,Active
SUP_0160,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.5641,8,15,18,2,1172,89023,0.01,2202.67,1,Enrolled_Not_Active
SUP_0161,Singapore,T2,UEN,0,Pass2_Probabilistic,0.707,0,0.7075,11,15,14,3,996,129364,0.01,3907.91,1,Onboarding
SUP_0162,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.5907,9,15,17,2,1007,198890,0.01,6532.5,1,Active
SUP_0163,India,T2,GSTIN,0,Pass2_Probabilistic,0.705,0,0.629,9,15,17,3,986,105162,0.01,3000.47,1,Active
SUP_0164,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.6407,10,15,12,4,1175,148938,0.01,4470.92,1,Onboarding
SUP_0165,Vietnam,T1,MST,1,Pass1_Deterministic,,1,0.5029,8,15,17,4,1168,671058,0.01,24270.38,1,Active
SUP_0166,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.73,11,15,18,3,1120,15442,0.01,-534.63,0,Onboarding
SUP_0167,Vietnam,T2,MST,1,Pass1_Deterministic,,1,0.4681,7,15,18,4,1140,191280,0.01,6111.02,1,Active
SUP_0168,Vietnam,T1,MST,1,Pass1_Deterministic,,1,0.5124,8,15,18,4,1111,995740,0.01,36635.38,1,Dropped_Off
SUP_0169,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.6867,10,15,16,3,1092,944261,0.01,34702.92,1,Active
SUP_0170,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7335,11,15,13,2,1015,187116,0.01,6078.17,1,Enrolled_Not_Active
SUP_0171,Singapore,T2,UEN,0,Pass2_Probabilistic,0.803,0,0.7723,12,15,12,5,1011,80985,0.01,2058.97,1,Dropped_Off
SUP_0172,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.7154,11,15,16,2,1177,923225,0.01,33820.49,1,Dropped_Off
SUP_0173,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7393,11,15,16,3,1050,88138,0.01,2291.12,1,Enrolled_Not_Active
SUP_0174,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6049,9,15,18,5,1087,604060,0.01,21811.63,1,Active
SUP_0175,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7656,11,15,13,2,1186,94324,0.01,2389.62,1,Dropped_Off
SUP_0176,Singapore,T1,UEN,0,Pass2_Probabilistic,0.915,1,0.6919,10,15,15,4,1103,939089,0.01,34495.86,1,Active
SUP_0177,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.6015,9,15,16,5,873,109567,0.01,3280.45,1,Enrolled_Not_Active
SUP_0178,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7363,11,15,15,2,828,64026,0.01,1599.09,1,Enrolled_Not_Active
SUP_0179,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.6508,10,15,14,5,818,37159,0.01,590.62,1,Active
SUP_0180,Singapore,T1,UEN,0,Pass2_Probabilistic,0.797,0,0.7343,11,15,13,4,884,782393,0.01,28774.85,1,Dropped_Off
SUP_0181,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7165,11,15,16,2,977,123596,0.01,3708.26,1,Onboarding
SUP_0182,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6061,9,15,18,3,1056,246638,0.01,8293.52,1,Active
SUP_0183,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.5845,9,15,18,4,1051,49937,0.01,842.01,1,Active
SUP_0184,Vietnam,T3,MST,1,Pass1_Deterministic,,1,0.4393,7,15,18,2,1181,34928,0.01,143.05,1,Active
SUP_0185,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6538,10,15,16,4,1158,322772,0.01,11077.6,1,Active
SUP_0186,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.6111,9,15,17,3,871,153100,0.01,4932.69,1,Active
SUP_0187,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.7618,11,15,13,4,907,35101,0.01,423.6,1,Dropped_Off
SUP_0188,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.6816,10,15,13,5,1055,144024,0.01,4404.64,1,Onboarding
SUP_0189,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.5861,9,15,12,2,933,112863,0.01,3345.4,1,Enrolled_Not_Active
SUP_0190,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6304,9,15,15,3,864,964752,0.01,35707.69,1,Active
SUP_0191,Vietnam,T1,MST,1,Pass1_Deterministic,,1,0.4971,7,15,13,4,1026,212938,0.01,7046.03,1,Active
SUP_0192,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.7775,12,15,14,3,891,36213,0.01,481.76,1,Enrolled_Not_Active
SUP_0193,Singapore,T3,UEN,0,Pass2_Probabilistic,0.869,1,0.6984,10,15,15,4,1027,49386,0.01,845.12,1,Active
SUP_0194,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.6308,9,15,14,5,1174,104708,0.01,2795.26,1,Enrolled_Not_Active
SUP_0195,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.6631,10,15,15,3,1184,119157,0.01,3332.99,1,Active
SUP_0196,Vietnam,T2,MST,1,Pass1_Deterministic,,1,0.5264,8,15,15,4,807,174926,0.01,5824.07,1,Enrolled_Not_Active
SUP_0197,Vietnam,T2,MST,1,Pass1_Deterministic,,1,0.4523,7,15,16,5,985,137493,0.01,4227.07,1,Active
SUP_0198,Singapore,T3,UEN,0,Pass2_Probabilistic,0.768,0,0.7432,11,15,14,4,831,46655,0.01,937.59,1,Dropped_Off
SUP_0199,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.5906,9,15,18,4,1147,18688,0.01,-438.58,0,Active
SUP_0200,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.5521,8,15,16,5,881,44263,0.01,796.92,1,Enrolled_Not_Active
